dt_referencia,merchant_id,cluster,frn_id
2024-07-01,MRC_00000,ATIVO,FRN_398
2024-07-01,MRC_00001,CHURN,FRN_090
2024-07-01,MRC_00002,ATIVO,FRN_235
2024-07-01,MRC_00003,CHURN,FRN_500
2024-07-01,MRC_00004,PRE_CHURN,FRN_062
2024-07-01,MRC_00005,ATIVO,FRN_358
2024-07-01,MRC_00006,CHURN,FRN_266
2024-07-01,MRC_00007,CAPTADO,FRN_236
2024-07-01,MRC_00008,PRE_CHURN,FRN_162
2024-07-01,MRC_00009,CHURN,FRN_353
2024-07-01,MRC_00010,ATIVO,FRN_005
2024-07-01,MRC_00011,ATIVO,FRN_007
2024-07-01,MRC_00012,ATIVO,FRN_346
2024-07-01,MRC_00013,PRE_CHURN,FRN_108
2024-07-01,MRC_00014,CHURN,FRN_195
2024-07-01,MRC_00015,REATIVADO,FRN_298
2024-07-01,MRC_00016,ATIVO,FRN_052
2024-07-01,MRC_00017,REATIVADO,FRN_167
2024-07-01,MRC_00018,CHURN,FRN_186
2024-07-01,MRC_00019,ATIVO,FRN_314
2024-07-01,MRC_00020,ATIVO,FRN_442
2024-07-01,MRC_00021,ATIVO,FRN_133
2024-07-01,MRC_00022,CHURN,FRN_096
2024-07-01,MRC_00023,ATIVO,FRN_281
2024-07-01,MRC_00024,CHURN,FRN_135
2024-07-01,MRC_00025,CHURN,FRN_122
2024-07-01,MRC_00026,ATIVO,FRN_138
2024-07-01,MRC_00027,ATIVO,FRN_242
2024-07-01,MRC_00028,ATIVO,FRN_491
2024-07-01,MRC_00029,ATIVO,FRN_314
2024-07-01,MRC_00030,ATIVO,FRN_176
2024-07-01,MRC_00031,PRE_CHURN,FRN_188
2024-07-01,MRC_00032,ATIVO,FRN_095
2024-07-01,MRC_00033,CHURN,FRN_256
2024-07-01,MRC_00034,ATIVO,FRN_218
2024-07-01,MRC_00035,ATIVO,FRN_108
2024-07-01,MRC_00036,REATIVADO,FRN_215
2024-07-01,MRC_00037,ATIVO,FRN_359
2024-07-01,MRC_00038,ATIVO,FRN_386
2024-07-01,MRC_00039,PRE_CHURN,FRN_191
2024-07-01,MRC_00040,CHURN,FRN_187
2024-07-01,MRC_00041,ATIVO,FRN_438
2024-07-01,MRC_00042,ATIVO,FRN_206
2024-07-01,MRC_00043,CHURN,FRN_144
2024-07-01,MRC_00044,CAPTADO,FRN_231
2024-07-01,MRC_00045,ATIVO,FRN_093
2024-07-01,MRC_00046,PRE_CHURN,FRN_293
2024-07-01,MRC_00047,CAPTADO,FRN_068
2024-07-01,MRC_00048,ATIVO,FRN_295
2024-07-01,MRC_00049,ATIVO,FRN_352
2024-07-01,MRC_00050,CHURN,FRN_118
2024-07-01,MRC_00051,REATIVADO,FRN_417
2024-07-01,MRC_00052,CAPTADO,FRN_052
2024-07-01,MRC_00053,CAPTADO,FRN_370
2024-07-01,MRC_00054,REATIVADO,FRN_139
2024-07-01,MRC_00055,ATIVO,FRN_412
2024-07-01,MRC_00056,ATIVO,FRN_121
2024-07-01,MRC_00057,ATIVO,FRN_285
2024-07-01,MRC_00058,ATIVO,FRN_222
2024-07-01,MRC_00059,ATIVO,FRN_439
2024-07-01,MRC_00060,ATIVO,FRN_196
2024-07-01,MRC_00061,ATIVO,FRN_101
