dt,SubscriberKey,frente,categoria
2025-10-25,CK_cM5634,ciclo,onboarding
2025-09-24,CK_bV5431,marca,branding
2025-11-11,CK_MM3186,receita,ads
2025-11-27,CK_so7701,retencao,churn
2025-10-26,CK_xj6793,receita,ads
2025-12-26,CK_Fg2951,produto,pagamento
2025-11-15,CK_hW3142,ciclo,onboarding
2025-11-08,CK_PY1486,produto,pagamento
2026-02-11,CK_Yl5315,ciclo,onboarding
2025-10-04,CK_ew1248,retencao,churn
2026-01-15,CK_Wd6435,marca,branding
2025-10-13,CK_qA1775,produto,cardapio
2026-03-03,CK_Kp6011,retencao,churn
2026-03-15,CK_Yk8933,produto,cardapio
2026-02-11,CK_KR2386,receita,ads
2026-01-14,CK_ob1039,ciclo,onboarding
2025-12-19,CK_oK4974,marca,branding
2025-12-29,CK_BY7975,ciclo,onboarding
2025-10-25,CK_yP8564,produto,pagamento
2025-10-11,CK_Gt9389,receita,ads
2025-09-27,CK_dj6846,produto,pagamento
2025-11-22,CK_gu1547,produto,pagamento
2026-01-07,CK_ZS6020,produto,pagamento
2025-09-28,CK_pk8941,marca,branding
2026-01-01,CK_dM7515,marca,branding
2026-01-09,CK_GD1203,ciclo,onboarding
2025-10-30,CK_nx0308,retencao,churn
2026-03-19,CK_KS0756,receita,ads
2026-01-24,CK_Ol6947,produto,pagamento
2026-01-15,CK_ga8427,retencao,churn
2025-10-21,CK_vs4212,marca,branding
2026-01-26,CK_qF2806,produto,cardapio
2025-10-18,CK_QR1678,ciclo,onboarding
2026-03-11,CK_EZ6050,marca,branding
2025-11-13,CK_gf7438,ciclo,onboarding
2025-09-30,CK_do3180,ciclo,onboarding
2025-12-18,CK_vb9116,ciclo,onboarding
2025-12-01,CK_lC4665,retencao,churn
2026-02-08,CK_Fg2951,produto,pagamento
2025-12-07,CK_TK2570,produto,pagamento
2026-02-15,CK_jF3347,produto,cardapio
2026-03-04,CK_DA3397,produto,cardapio
2026-01-20,CK_gU0732,produto,cardapio
2026-02-24,CK_og0341,produto,cardapio
2025-10-24,CK_Wd6435,marca,branding
2025-12-27,CK_Gh6312,marca,branding
