merchant_id,contact_key_id,performance_classification,state,city,merchant_city_maturity,top_restaurants,status_saturacao,contract_mode
MRC_00000,CK_oi1043,silver,CE,Fortaleza,medium,False,atencao,enterprise
MRC_00001,CK_Bc1819,silver,RS,Porto Alegre,medium,False,atencao,basico
MRC_00002,CK_GM0133,bronze,PE,Caruaru,low,False,ok,pro
MRC_00003,CK_Ao0838,bronze,PR,Curitiba,low,False,ok,pro
MRC_00004,CK_WZ7940,bronze,CE,Fortaleza,low,False,atencao,basico
MRC_00005,CK_jn2654,platinum,SC,Florianópolis,medium,False,ok,enterprise
MRC_00006,CK_gw5116,silver,MG,Juiz de Fora,high,False,atencao,pro
MRC_00007,CK_UD5940,gold,CE,Fortaleza,medium,True,ok,enterprise
MRC_00008,CK_Js8161,bronze,PE,Recife,medium,True,atencao,enterprise
MRC_00009,CK_Te9593,silver,PR,Maringá,medium,False,ok,basico
MRC_00010,CK_og0341,bronze,RS,Caxias do Sul,low,False,ok,pro
MRC_00011,CK_kx6475,bronze,PE,Recife,low,False,ok,basico
MRC_00012,CK_MO5341,gold,PE,Recife,high,False,atencao,pro
MRC_00013,CK_Dy2832,silver,MG,Belo Horizonte,high,False,ok,pro
MRC_00014,CK_XX4835,bronze,BA,Salvador,medium,False,atencao,pro
MRC_00015,CK_zr0305,gold,PR,Curitiba,medium,False,atencao,basico
MRC_00016,CK_nP1395,bronze,RJ,Petrópolis,high,False,ok,pro
MRC_00017,CK_qi7672,platinum,PE,Recife,low,True,saturado,basico
MRC_00018,CK_VL3884,bronze,BA,Salvador,high,False,ok,basico
MRC_00019,CK_oi6965,bronze,RJ,Petrópolis,medium,False,atencao,pro
MRC_00020,CK_hj8710,bronze,PR,Maringá,medium,False,ok,basico
MRC_00021,CK_yy2691,bronze,SP,Ribeirão Preto,low,False,ok,basico
MRC_00022,CK_Ja9784,bronze,SC,Florianópolis,medium,False,ok,basico
MRC_00023,CK_hs1845,silver,BA,Feira de Santana,high,False,atencao,basico
MRC_00024,CK_UU6270,gold,GO,Anápolis,low,False,saturado,basico
MRC_00025,CK_gO4828,gold,SP,São Paulo,medium,False,ok,pro
MRC_00026,CK_jx4893,bronze,SC,Florianópolis,low,False,ok,pro
MRC_00027,CK_Mu2880,silver,MG,Juiz de Fora,high,False,saturado,basico
MRC_00028,CK_Zt7015,bronze,CE,Juazeiro do Norte,medium,False,ok,basico
MRC_00029,CK_ff3039,bronze,RS,Caxias do Sul,high,False,ok,basico
MRC_00030,CK_iQ7182,silver,GO,Anápolis,medium,False,ok,pro
MRC_00031,CK_HM7824,silver,MG,Belo Horizonte,low,False,ok,basico
MRC_00032,CK_Tt6383,bronze,PR,Curitiba,low,False,atencao,basico
MRC_00033,CK_Ch6578,bronze,MG,Uberlândia,low,False,saturado,basico
MRC_00034,CK_bL3315,platinum,CE,Fortaleza,low,True,ok,basico
MRC_00035,CK_ae8393,bronze,PR,Curitiba,medium,False,atencao,pro
MRC_00036,CK_ve0310,silver,GO,Anápolis,low,False,atencao,basico
MRC_00037,CK_nI8347,silver,CE,Fortaleza,medium,False,ok,basico
MRC_00038,CK_pY2997,bronze,RJ,Niterói,medium,False,ok,basico
MRC_00039,CK_gQ7631,bronze,RS,Caxias do Sul,medium,False,atencao,enterprise
MRC_00040,CK_DU6566,bronze,GO,Anápolis,high,False,ok,pro
MRC_00041,CK_Uv0106,gold,RJ,Rio de Janeiro,medium,True,ok,basico
MRC_00042,CK_IC1333,silver,SC,Blumenau,high,False,saturado,basico
MRC_00043,CK_Dp2624,silver,GO,Anápolis,low,False,atencao,enterprise
MRC_00044,CK_dP1781,platinum,SC,Blumenau,medium,False,saturado,basico
MRC_00045,CK_kA8013,gold,PR,Curitiba,medium,False,ok,enterprise
MRC_00046,CK_dk7736,silver,RJ,Niterói,medium,False,atencao,basico
MRC_00047,CK_YY6064,silver,RS,Porto Alegre,medium,True,atencao,basico
MRC_00048,CK_QT7468,silver,CE,Juazeiro do Norte,medium,False,saturado,pro
MRC_00049,CK_nd7234,silver,PE,Caruaru,medium,True,saturado,pro
MRC_00050,CK_dd9805,silver,MG,Juiz de Fora,medium,False,saturado,enterprise
MRC_00051,CK_kd9788,silver,SP,Campinas,high,False,saturado,pro
MRC_00052,CK_Me8121,bronze,RS,Pelotas,high,False,ok,basico
MRC_00053,CK_pL3619,silver,RJ,Rio de Janeiro,medium,False,atencao,pro
MRC_00054,CK_AQ9091,bronze,PE,Recife,low,False,ok,pro
MRC_00055,CK_qn9985,bronze,RS,Pelotas,high,False,atencao,pro
MRC_00056,CK_iQ5346,bronze,RJ,Rio de Janeiro,high,False,saturado,basico
MRC_00057,CK_aD4751,silver,BA,Feira de Santana,low,True,ok,basico
MRC_00058,CK_In9911,silver,BA,Salvador,medium,False,ok,basico
MRC_00059,CK_ep8425,bronze,SC,Florianópolis,high,False,atencao,pro
MRC_00060,CK_IT5427,silver,RS,Porto Alegre,high,False,ok,basico
MRC_00061,CK_QJ4980,silver,BA,Feira de Santana,low,True,ok,basico
MRC_00062,CK_hg4124,bronze,RJ,Niterói,medium,False,ok,pro
MRC_00063,CK_Mn8244,silver,SC,Joinville,high,True,ok,basico
MRC_00064,CK_Fq5348,gold,RJ,Petrópolis,high,False,atencao,pro
MRC_00065,CK_ca0164,gold,SC,Joinville,high,False,ok,enterprise
MRC_00066,CK_VC5242,silver,RS,Porto Alegre,high,False,ok,basico
MRC_00067,CK_he8680,silver,PE,Caruaru,low,False,saturado,basico
MRC_00068,CK_LJ2805,bronze,CE,Juazeiro do Norte,high,False,atencao,basico
MRC_00069,CK_tx2620,bronze,GO,Goiânia,low,False,ok,pro
MRC_00070,CK_Qg0533,bronze,PE,Caruaru,high,False,ok,pro
MRC_00071,CK_Vj5869,platinum,PR,Maringá,medium,False,atencao,basico
MRC_00072,CK_bl3226,bronze,RJ,Petrópolis,high,False,ok,basico
MRC_00073,CK_kY5634,bronze,PR,Maringá,low,False,atencao,pro
MRC_00074,CK_om1607,gold,PE,Recife,medium,False,atencao,basico
MRC_00075,CK_ob7543,platinum,SC,Blumenau,low,False,ok,pro
MRC_00076,CK_eX3654,gold,GO,Goiânia,medium,True,saturado,pro
MRC_00077,CK_RI4586,bronze,GO,Goiânia,high,False,ok,pro
MRC_00078,CK_lL5014,bronze,SP,Campinas,high,False,ok,enterprise
MRC_00079,CK_Bw4019,bronze,GO,Anápolis,medium,False,saturado,basico
MRC_00080,CK_hy5698,bronze,CE,Juazeiro do Norte,low,False,ok,basico
MRC_00081,CK_TB9340,bronze,GO,Anápolis,high,False,atencao,pro
MRC_00082,CK_xB0883,silver,PE,Recife,high,False,atencao,basico
MRC_00083,CK_Qh1595,platinum,SP,Santos,high,False,ok,pro
MRC_00084,CK_uz4846,bronze,PE,Recife,high,True,saturado,enterprise
MRC_00085,CK_AQ4823,silver,PE,Recife,high,False,ok,enterprise
MRC_00086,CK_tz6299,silver,MG,Belo Horizonte,medium,False,ok,pro
MRC_00087,CK_nB8044,bronze,SP,Santos,high,False,saturado,enterprise
MRC_00088,CK_CC9957,silver,PE,Caruaru,medium,False,ok,basico
MRC_00089,CK_Qf3872,bronze,MG,Uberlândia,high,False,atencao,basico
MRC_00090,CK_fW4895,bronze,MG,Belo Horizonte,high,True,atencao,basico
MRC_00091,CK_jb3433,gold,SP,Campinas,low,False,ok,basico
MRC_00092,CK_Xe0379,bronze,PR,Maringá,medium,True,ok,basico
MRC_00093,CK_TS7693,platinum,SC,Blumenau,low,False,ok,enterprise
MRC_00094,CK_jP6763,bronze,CE,Juazeiro do Norte,low,False,atencao,pro
MRC_00095,CK_lZ0163,silver,SC,Florianópolis,medium,False,ok,pro
MRC_00096,CK_ph8708,silver,GO,Anápolis,high,True,ok,basico
MRC_00097,CK_JM7278,bronze,CE,Juazeiro do Norte,low,False,ok,basico
MRC_00098,CK_BJ5798,bronze,GO,Anápolis,medium,False,ok,enterprise
MRC_00099,CK_qW7277,silver,PE,Recife,high,False,atencao,pro
MRC_00100,CK_Op3487,gold,RJ,Niterói,high,False,saturado,pro
MRC_00101,CK_pr4714,gold,SP,Campinas,medium,False,ok,enterprise
MRC_00102,CK_ij5581,silver,CE,Fortaleza,high,False,ok,pro
MRC_00103,CK_eA3623,gold,CE,Juazeiro do Norte,medium,False,atencao,pro
MRC_00104,CK_Ad6587,silver,PE,Caruaru,low,False,ok,basico
MRC_00105,CK_Sb3669,gold,PR,Maringá,low,False,saturado,basico
MRC_00106,CK_wt9670,silver,MG,Uberlândia,low,False,ok,pro
MRC_00107,CK_ZM6688,silver,PE,Caruaru,medium,False,ok,basico
MRC_00108,CK_BF3734,gold,BA,Salvador,high,True,saturado,pro
MRC_00109,CK_Uk0656,bronze,MG,Belo Horizonte,high,False,ok,basico
MRC_00110,CK_bz7298,gold,SP,Ribeirão Preto,medium,False,ok,basico
MRC_00111,CK_PB9901,silver,MG,Belo Horizonte,medium,False,ok,basico
MRC_00112,CK_qy2720,bronze,PR,Curitiba,low,False,saturado,basico
MRC_00113,CK_vW5375,bronze,MG,Belo Horizonte,high,False,atencao,enterprise
MRC_00114,CK_fE6464,bronze,SP,Campinas,high,False,ok,basico
MRC_00115,CK_oP0805,silver,PR,Maringá,low,True,atencao,pro
MRC_00116,CK_mb1003,gold,SC,Florianópolis,low,False,ok,basico
MRC_00117,CK_EQ9232,bronze,CE,Juazeiro do Norte,medium,True,ok,basico
